"name","up.votes","date","n.comments","date.w","comments.share","votes.share","max.daily.comment.share","max.daily.votes.share","days.in.week"
"Show HN",23,2014-07-03,10,2014-06-29,0.0371747211895911,0.0175975516449885,0.178438661710037,0.13389441469013,7
"UI.Colors",24,2014-07-03,1,2014-06-29,0.00371747211895911,0.018362662586075,0.178438661710037,0.13389441469013,7
"Facebook Mood Manipulator",25,2014-07-03,1,2014-06-29,0.00371747211895911,0.0191277735271614,0.178438661710037,0.13389441469013,7
"Traity",21,2014-07-03,5,2014-06-29,0.0185873605947955,0.0160673297628156,0.178438661710037,0.13389441469013,7
"Ikea PS 2014",19,2014-07-03,2,2014-06-29,0.00743494423791822,0.0145371078806427,0.178438661710037,0.13389441469013,7
"Clickberry",18,2014-07-03,3,2014-06-29,0.0111524163568773,0.0137719969395562,0.178438661710037,0.13389441469013,7
"Fieldbook",15,2014-07-03,0,2014-06-29,0,0.0114766641162969,0.178438661710037,0.13389441469013,7
"Namez",15,2014-07-03,6,2014-06-29,0.0223048327137546,0.0114766641162969,0.178438661710037,0.13389441469013,7
"iA Writer 2.0",14,2014-07-03,6,2014-06-29,0.0223048327137546,0.0107115531752104,0.178438661710037,0.13389441469013,7
"AdTapsy",17,2014-07-03,9,2014-06-29,0.033457249070632,0.0130068859984698,0.178438661710037,0.13389441469013,7
"Prelang",12,2014-07-03,2,2014-06-29,0.00743494423791822,0.00918133129303749,0.178438661710037,0.13389441469013,7
"Cloudlytics",17,2014-07-03,1,2014-06-29,0.00371747211895911,0.0130068859984698,0.178438661710037,0.13389441469013,7
"Nudgespot",11,2014-07-03,2,2014-06-29,0.00743494423791822,0.00841622035195103,0.178438661710037,0.13389441469013,7
"Bitcalm",12,2014-07-03,4,2014-06-29,0.0148698884758364,0.00918133129303749,0.178438661710037,0.13389441469013,7
"ReservationHop",7,2014-07-03,6,2014-06-29,0.0223048327137546,0.0053557765876052,0.178438661710037,0.13389441469013,7
"Pixotale",11,2014-07-03,0,2014-06-29,0,0.00841622035195103,0.178438661710037,0.13389441469013,7
"Jump",10,2014-07-03,2,2014-06-29,0.00743494423791822,0.00765110941086458,0.178438661710037,0.13389441469013,7
"Clover",8,2014-07-03,2,2014-06-29,0.00743494423791822,0.00612088752869166,0.178438661710037,0.13389441469013,7
"Hem",6,2014-07-03,0,2014-06-29,0,0.00459066564651875,0.178438661710037,0.13389441469013,7
"GoCam!",11,2014-07-03,2,2014-06-29,0.00743494423791822,0.00841622035195103,0.178438661710037,0.13389441469013,7
"Torii",10,2014-07-03,0,2014-06-29,0,0.00765110941086458,0.178438661710037,0.13389441469013,7
"Fast Fives",7,2014-07-03,2,2014-06-29,0.00743494423791822,0.0053557765876052,0.178438661710037,0.13389441469013,7
"Karmagenes",7,2014-07-03,9,2014-06-29,0.033457249070632,0.0053557765876052,0.178438661710037,0.13389441469013,7
"Stitch Fix",6,2014-07-03,1,2014-06-29,0.00371747211895911,0.00459066564651875,0.178438661710037,0.13389441469013,7
"Sponseasy",6,2014-07-03,2,2014-06-29,0.00743494423791822,0.00459066564651875,0.178438661710037,0.13389441469013,7
"Sedition",4,2014-07-03,2,2014-06-29,0.00743494423791822,0.00306044376434583,0.178438661710037,0.13389441469013,7
"PlanGrid",6,2014-07-03,1,2014-06-29,0.00371747211895911,0.00459066564651875,0.178438661710037,0.13389441469013,7
"Fiestah",5,2014-07-03,3,2014-06-29,0.0111524163568773,0.00382555470543229,0.178438661710037,0.13389441469013,7
"Civics",2,2014-07-03,1,2014-06-29,0.00371747211895911,0.00153022188217292,0.178438661710037,0.13389441469013,7
"WriteRoom",3,2014-07-03,2,2014-06-29,0.00743494423791822,0.00229533282325937,0.178438661710037,0.13389441469013,7
"Yo PRODUCT HUNTED",171,2014-07-02,26,2014-06-29,0.104,0.122055674518201,0.168,0.122055674518201,7
"MailTrack",148,2014-07-02,42,2014-06-29,0.168,0.105638829407566,0.168,0.122055674518201,7
"Inside 2.0",126,2014-07-02,35,2014-06-29,0.14,0.0899357601713062,0.168,0.122055674518201,7
"Flat Color Picker",106,2014-07-02,7,2014-06-29,0.028,0.0756602426837973,0.168,0.122055674518201,7
"Headspace 2.0",93,2014-07-02,13,2014-06-29,0.052,0.0663811563169165,0.168,0.122055674518201,7
"Flat Icons",91,2014-07-02,1,2014-06-29,0.004,0.0649536045681656,0.168,0.122055674518201,7
"Startup Documents",58,2014-07-02,9,2014-06-29,0.036,0.0413990007137759,0.168,0.122055674518201,7
"Vault by Coinbase",46,2014-07-02,2,2014-06-29,0.008,0.0328336902212705,0.168,0.122055674518201,7
"AbbeyPost",46,2014-07-02,8,2014-06-29,0.032,0.0328336902212705,0.168,0.122055674518201,7
"InVision LiveShare PS",63,2014-07-02,4,2014-06-29,0.016,0.0449678800856531,0.168,0.122055674518201,7
"Helium",35,2014-07-02,8,2014-06-29,0.032,0.0249821556031406,0.168,0.122055674518201,7
"Inoreader",36,2014-07-02,7,2014-06-29,0.028,0.0256959314775161,0.168,0.122055674518201,7
"PM Immersive",30,2014-07-02,17,2014-06-29,0.068,0.0214132762312634,0.168,0.122055674518201,7
"Bandwagon",28,2014-07-02,6,2014-06-29,0.024,0.0199857244825125,0.168,0.122055674518201,7
"Little Card Editor",24,2014-07-02,5,2014-06-29,0.02,0.0171306209850107,0.168,0.122055674518201,7
"Cloud",22,2014-07-02,6,2014-06-29,0.024,0.0157030692362598,0.168,0.122055674518201,7
"BrowserTap",22,2014-07-02,1,2014-06-29,0.004,0.0157030692362598,0.168,0.122055674518201,7
"Switch",17,2014-07-02,2,2014-06-29,0.008,0.0121341898643826,0.168,0.122055674518201,7
"Selfr",18,2014-07-02,6,2014-06-29,0.024,0.012847965738758,0.168,0.122055674518201,7
"Drinkwel",19,2014-07-02,9,2014-06-29,0.036,0.0135617416131335,0.168,0.122055674518201,7
"ToneDen",16,2014-07-02,2,2014-06-29,0.008,0.0114204139900071,0.168,0.122055674518201,7
"Kudoso",21,2014-07-02,5,2014-06-29,0.02,0.0149892933618844,0.168,0.122055674518201,7
"Hipe",14,2014-07-02,2,2014-06-29,0.008,0.00999286224125625,0.168,0.122055674518201,7
"The Mu",14,2014-07-02,0,2014-06-29,0,0.00999286224125625,0.168,0.122055674518201,7
"fetching.io",12,2014-07-02,0,2014-06-29,0,0.00856531049250535,0.168,0.122055674518201,7
"SlideRider",12,2014-07-02,2,2014-06-29,0.008,0.00856531049250535,0.168,0.122055674518201,7
"Soundcleod",11,2014-07-02,1,2014-06-29,0.004,0.00785153461812991,0.168,0.122055674518201,7
"Interviewing.io",10,2014-07-02,1,2014-06-29,0.004,0.00713775874375446,0.168,0.122055674518201,7
"Dropzone 3",9,2014-07-02,1,2014-06-29,0.004,0.00642398286937901,0.168,0.122055674518201,7
"Pixelfold Feedback",10,2014-07-02,2,2014-06-29,0.008,0.00713775874375446,0.168,0.122055674518201,7
"Haste",10,2014-07-02,3,2014-06-29,0.012,0.00713775874375446,0.168,0.122055674518201,7
"Breakup Notifier",10,2014-07-02,5,2014-06-29,0.02,0.00713775874375446,0.168,0.122055674518201,7
"iCloak",10,2014-07-02,1,2014-06-29,0.004,0.00713775874375446,0.168,0.122055674518201,7
"Contest Domination",9,2014-07-02,3,2014-06-29,0.012,0.00642398286937901,0.168,0.122055674518201,7
"Remente",7,2014-07-02,1,2014-06-29,0.004,0.00499643112062812,0.168,0.122055674518201,7
"Handy ",4,2014-07-02,1,2014-06-29,0.004,0.00285510349750178,0.168,0.122055674518201,7
"REVISR",6,2014-07-02,0,2014-06-29,0,0.00428265524625268,0.168,0.122055674518201,7
"Tattle",5,2014-07-02,3,2014-06-29,0.012,0.00356887937187723,0.168,0.122055674518201,7
"MailDeck",5,2014-07-02,0,2014-06-29,0,0.00356887937187723,0.168,0.122055674518201,7
"Supernauts",4,2014-07-02,2,2014-06-29,0.008,0.00285510349750178,0.168,0.122055674518201,7
"Objective Logistics",3,2014-07-02,1,2014-06-29,0.004,0.00214132762312634,0.168,0.122055674518201,7
"ProducTind",192,2014-07-01,34,2014-06-29,0.118055555555556,0.121904761904762,0.118055555555556,0.121904761904762,7
"KeywordTool.io",126,2014-07-01,19,2014-06-29,0.0659722222222222,0.08,0.118055555555556,0.121904761904762,7
"Yix",121,2014-07-01,28,2014-06-29,0.0972222222222222,0.0768253968253968,0.118055555555556,0.121904761904762,7
"Picturelife 3.0",112,2014-07-01,32,2014-06-29,0.111111111111111,0.0711111111111111,0.118055555555556,0.121904761904762,7
"degreed",97,2014-07-01,5,2014-06-29,0.0173611111111111,0.0615873015873016,0.118055555555556,0.121904761904762,7
"KingSumo Giveaways ",79,2014-07-01,17,2014-06-29,0.0590277777777778,0.0501587301587302,0.118055555555556,0.121904761904762,7
"Unreplied",83,2014-07-01,32,2014-06-29,0.111111111111111,0.0526984126984127,0.118055555555556,0.121904761904762,7
"MTailor",66,2014-07-01,18,2014-06-29,0.0625,0.0419047619047619,0.118055555555556,0.121904761904762,7
"Yep!",59,2014-07-01,13,2014-06-29,0.0451388888888889,0.0374603174603175,0.118055555555556,0.121904761904762,7
"Repartee",52,2014-07-01,11,2014-06-29,0.0381944444444444,0.033015873015873,0.118055555555556,0.121904761904762,7
"Nomiku Sous Vide",87,2014-07-01,3,2014-06-29,0.0104166666666667,0.0552380952380952,0.118055555555556,0.121904761904762,7
"SnapUp",39,2014-07-01,3,2014-06-29,0.0104166666666667,0.0247619047619048,0.118055555555556,0.121904761904762,7
"StartupTabs",43,2014-07-01,8,2014-06-29,0.0277777777777778,0.0273015873015873,0.118055555555556,0.121904761904762,7
"Levers",38,2014-07-01,6,2014-06-29,0.0208333333333333,0.0241269841269841,0.118055555555556,0.121904761904762,7
"Future Me",33,2014-07-01,3,2014-06-29,0.0104166666666667,0.020952380952381,0.118055555555556,0.121904761904762,7
"South Park VR",28,2014-07-01,5,2014-06-29,0.0173611111111111,0.0177777777777778,0.118055555555556,0.121904761904762,7
"Mockflow",23,2014-07-01,3,2014-06-29,0.0104166666666667,0.0146031746031746,0.118055555555556,0.121904761904762,7
"Yo IFTTT Channel ",32,2014-07-01,4,2014-06-29,0.0138888888888889,0.0203174603174603,0.118055555555556,0.121904761904762,7
"LEO",19,2014-07-01,4,2014-06-29,0.0138888888888889,0.0120634920634921,0.118055555555556,0.121904761904762,7
"Kosmo",33,2014-07-01,8,2014-06-29,0.0277777777777778,0.020952380952381,0.118055555555556,0.121904761904762,7
"FilePreviews",17,2014-07-01,3,2014-06-29,0.0104166666666667,0.0107936507936508,0.118055555555556,0.121904761904762,7
"Followerwonk",19,2014-07-01,1,2014-06-29,0.00347222222222222,0.0120634920634921,0.118055555555556,0.121904761904762,7
"Sprig (Android)",17,2014-07-01,1,2014-06-29,0.00347222222222222,0.0107936507936508,0.118055555555556,0.121904761904762,7
"Synek",15,2014-07-01,3,2014-06-29,0.0104166666666667,0.00952380952380952,0.118055555555556,0.121904761904762,7
"Fitbit App (new release)",15,2014-07-01,1,2014-06-29,0.00347222222222222,0.00952380952380952,0.118055555555556,0.121904761904762,7
"Tiii.me",16,2014-07-01,8,2014-06-29,0.0277777777777778,0.0101587301587302,0.118055555555556,0.121904761904762,7
"Calloud",15,2014-07-01,6,2014-06-29,0.0208333333333333,0.00952380952380952,0.118055555555556,0.121904761904762,7
"Ultimate Fan Live",14,2014-07-01,1,2014-06-29,0.00347222222222222,0.00888888888888889,0.118055555555556,0.121904761904762,7
"Public Domain Archive",14,2014-07-01,0,2014-06-29,0,0.00888888888888889,0.118055555555556,0.121904761904762,7
"Tavern",10,2014-07-01,1,2014-06-29,0.00347222222222222,0.00634920634920635,0.118055555555556,0.121904761904762,7
"Pinoccio",10,2014-07-01,3,2014-06-29,0.0104166666666667,0.00634920634920635,0.118055555555556,0.121904761904762,7
"deploydo",9,2014-07-01,0,2014-06-29,0,0.00571428571428571,0.118055555555556,0.121904761904762,7
"Coming Out Simulator ",8,2014-07-01,2,2014-06-29,0.00694444444444444,0.00507936507936508,0.118055555555556,0.121904761904762,7
"Emolytics",6,2014-07-01,0,2014-06-29,0,0.00380952380952381,0.118055555555556,0.121904761904762,7
"Emerald Cloud Laboratory",6,2014-07-01,0,2014-06-29,0,0.00380952380952381,0.118055555555556,0.121904761904762,7
"Submarine",6,2014-07-01,0,2014-06-29,0,0.00380952380952381,0.118055555555556,0.121904761904762,7
"PoachIt",3,2014-07-01,0,2014-06-29,0,0.0019047619047619,0.118055555555556,0.121904761904762,7
"Doco",5,2014-07-01,2,2014-06-29,0.00694444444444444,0.00317460317460317,0.118055555555556,0.121904761904762,7
"Block Sender for Gmail",4,2014-07-01,0,2014-06-29,0,0.00253968253968254,0.118055555555556,0.121904761904762,7
"Relative Insight",2,2014-07-01,0,2014-06-29,0,0.00126984126984127,0.118055555555556,0.121904761904762,7
"PhoneCard",2,2014-07-01,0,2014-06-29,0,0.00126984126984127,0.118055555555556,0.121904761904762,7
"Meeet",228,2014-06-30,56,2014-06-29,0.20817843866171,0.185365853658537,0.20817843866171,0.185365853658537,7
"Grasswire",214,2014-06-30,20,2014-06-29,0.0743494423791822,0.173983739837398,0.20817843866171,0.185365853658537,7
"Emojili",78,2014-06-30,24,2014-06-29,0.0892193308550186,0.0634146341463415,0.20817843866171,0.185365853658537,7
"SquadUP Mobile",69,2014-06-30,7,2014-06-29,0.0260223048327138,0.0560975609756098,0.20817843866171,0.185365853658537,7
"Leap.it",62,2014-06-30,11,2014-06-29,0.0408921933085502,0.0504065040650407,0.20817843866171,0.185365853658537,7
"Copy Paste Character",58,2014-06-30,10,2014-06-29,0.0371747211895911,0.0471544715447154,0.20817843866171,0.185365853658537,7
"Yo Hodor",48,2014-06-30,12,2014-06-29,0.0446096654275093,0.0390243902439024,0.20817843866171,0.185365853658537,7
"Leevia",77,2014-06-30,4,2014-06-29,0.0148698884758364,0.0626016260162602,0.20817843866171,0.185365853658537,7
"BillForward",42,2014-06-30,3,2014-06-29,0.0111524163568773,0.0341463414634146,0.20817843866171,0.185365853658537,7
"Kato",37,2014-06-30,5,2014-06-29,0.0185873605947955,0.0300813008130081,0.20817843866171,0.185365853658537,7
"JSFiddle",35,2014-06-30,1,2014-06-29,0.00371747211895911,0.0284552845528455,0.20817843866171,0.185365853658537,7
"8fit",28,2014-06-30,8,2014-06-29,0.0297397769516729,0.0227642276422764,0.20817843866171,0.185365853658537,7
"Solo",24,2014-06-30,10,2014-06-29,0.0371747211895911,0.0195121951219512,0.20817843866171,0.185365853658537,7
"Knozen",16,2014-06-30,14,2014-06-29,0.0520446096654275,0.0130081300813008,0.20817843866171,0.185365853658537,7
"Bombfell",14,2014-06-30,11,2014-06-29,0.0408921933085502,0.0113821138211382,0.20817843866171,0.185365853658537,7
"CourseForward",14,2014-06-30,4,2014-06-29,0.0148698884758364,0.0113821138211382,0.20817843866171,0.185365853658537,7
"Pusher",12,2014-06-30,2,2014-06-29,0.00743494423791822,0.00975609756097561,0.20817843866171,0.185365853658537,7
"Workstack",13,2014-06-30,7,2014-06-29,0.0260223048327138,0.0105691056910569,0.20817843866171,0.185365853658537,7
"LemonStand",13,2014-06-30,1,2014-06-29,0.00371747211895911,0.0105691056910569,0.20817843866171,0.185365853658537,7
"Data by Brace",11,2014-06-30,4,2014-06-29,0.0148698884758364,0.00894308943089431,0.20817843866171,0.185365853658537,7
"Guardian JS",12,2014-06-30,0,2014-06-29,0,0.00975609756097561,0.20817843866171,0.185365853658537,7
"Mail-Trail for Gmail",12,2014-06-30,3,2014-06-29,0.0111524163568773,0.00975609756097561,0.20817843866171,0.185365853658537,7
"Vendorsi",18,2014-06-30,5,2014-06-29,0.0185873605947955,0.0146341463414634,0.20817843866171,0.185365853658537,7
"Jagger Frames",10,2014-06-30,5,2014-06-29,0.0185873605947955,0.00813008130081301,0.20817843866171,0.185365853658537,7
"Pretty Poli",9,2014-06-30,3,2014-06-29,0.0111524163568773,0.00731707317073171,0.20817843866171,0.185365853658537,7
"Subledger",8,2014-06-30,0,2014-06-29,0,0.00650406504065041,0.20817843866171,0.185365853658537,7
"iPunch",7,2014-06-30,0,2014-06-29,0,0.00569105691056911,0.20817843866171,0.185365853658537,7
"Revive Old Post",6,2014-06-30,11,2014-06-29,0.0408921933085502,0.0048780487804878,0.20817843866171,0.185365853658537,7
"World of Tanks Blitz",5,2014-06-30,3,2014-06-29,0.0111524163568773,0.0040650406504065,0.20817843866171,0.185365853658537,7
"LiveStream 4 Google Glass",5,2014-06-30,1,2014-06-29,0.00371747211895911,0.0040650406504065,0.20817843866171,0.185365853658537,7
"The Pizza Counter",4,2014-06-30,1,2014-06-29,0.00371747211895911,0.0032520325203252,0.20817843866171,0.185365853658537,7
"Shoot!",5,2014-06-30,3,2014-06-29,0.0111524163568773,0.0040650406504065,0.20817843866171,0.185365853658537,7
"Jokund",5,2014-06-30,4,2014-06-29,0.0148698884758364,0.0040650406504065,0.20817843866171,0.185365853658537,7
"Pen Type-A",4,2014-06-30,2,2014-06-29,0.00743494423791822,0.0032520325203252,0.20817843866171,0.185365853658537,7
"Bouncy Ninja",3,2014-06-30,1,2014-06-29,0.00371747211895911,0.0024390243902439,0.20817843866171,0.185365853658537,7
"Happy Friends",3,2014-06-30,4,2014-06-29,0.0148698884758364,0.0024390243902439,0.20817843866171,0.185365853658537,7
"Bookimbo",3,2014-06-30,1,2014-06-29,0.00371747211895911,0.0024390243902439,0.20817843866171,0.185365853658537,7
"Viral Tag",3,2014-06-30,1,2014-06-29,0.00371747211895911,0.0024390243902439,0.20817843866171,0.185365853658537,7
"Extole",3,2014-06-30,4,2014-06-29,0.0148698884758364,0.0024390243902439,0.20817843866171,0.185365853658537,7
"Roletroll",3,2014-06-30,0,2014-06-29,0,0.0024390243902439,0.20817843866171,0.185365853658537,7
"ContactBox",3,2014-06-30,1,2014-06-29,0.00371747211895911,0.0024390243902439,0.20817843866171,0.185365853658537,7
"Wish",3,2014-06-30,1,2014-06-29,0.00371747211895911,0.0024390243902439,0.20817843866171,0.185365853658537,7
"StockUp",3,2014-06-30,1,2014-06-29,0.00371747211895911,0.0024390243902439,0.20817843866171,0.185365853658537,7
"Tinker",91,2014-06-29,13,2014-06-29,0.196969696969697,0.220338983050847,0.196969696969697,0.220338983050847,7
"MyPermissions",67,2014-06-29,13,2014-06-29,0.196969696969697,0.162227602905569,0.196969696969697,0.220338983050847,7
"Osper",60,2014-06-29,12,2014-06-29,0.181818181818182,0.145278450363196,0.196969696969697,0.220338983050847,7
"Able",26,2014-06-29,5,2014-06-29,0.0757575757575758,0.062953995157385,0.196969696969697,0.220338983050847,7
"API{Search}",36,2014-06-29,3,2014-06-29,0.0454545454545455,0.0871670702179177,0.196969696969697,0.220338983050847,7
"VVVVVV",35,2014-06-29,5,2014-06-29,0.0757575757575758,0.0847457627118644,0.196969696969697,0.220338983050847,7
"TapPainter",18,2014-06-29,3,2014-06-29,0.0454545454545455,0.0435835351089588,0.196969696969697,0.220338983050847,7
"Exitround",19,2014-06-29,4,2014-06-29,0.0606060606060606,0.0460048426150121,0.196969696969697,0.220338983050847,7
"Webydo",17,2014-06-29,0,2014-06-29,0,0.0411622276029056,0.196969696969697,0.220338983050847,7
"Currently",11,2014-06-29,5,2014-06-29,0.0757575757575758,0.026634382566586,0.196969696969697,0.220338983050847,7
"Passenger ",7,2014-06-29,2,2014-06-29,0.0303030303030303,0.0169491525423729,0.196969696969697,0.220338983050847,7
"Mallzee",6,2014-06-29,0,2014-06-29,0,0.0145278450363196,0.196969696969697,0.220338983050847,7
"Forewards",5,2014-06-29,0,2014-06-29,0,0.0121065375302663,0.196969696969697,0.220338983050847,7
"Cedexis",4,2014-06-29,1,2014-06-29,0.0151515151515152,0.00968523002421308,0.196969696969697,0.220338983050847,7
"Braintree",11,2014-06-29,0,2014-06-29,0,0.026634382566586,0.196969696969697,0.220338983050847,7
"Yo server is down",92,2014-06-28,7,2014-06-22,0.127272727272727,0.247311827956989,0.163636363636364,0.247311827956989,7
"TinyPNG",49,2014-06-28,4,2014-06-22,0.0727272727272727,0.131720430107527,0.163636363636364,0.247311827956989,7
"Subtitles",43,2014-06-28,5,2014-06-22,0.0909090909090909,0.115591397849462,0.163636363636364,0.247311827956989,7
"The Simpsons in CSS",37,2014-06-28,5,2014-06-22,0.0909090909090909,0.0994623655913978,0.163636363636364,0.247311827956989,7
"Authorea",26,2014-06-28,4,2014-06-22,0.0727272727272727,0.0698924731182796,0.163636363636364,0.247311827956989,7
"Blank Walls Are Criminal",25,2014-06-28,6,2014-06-22,0.109090909090909,0.0672043010752688,0.163636363636364,0.247311827956989,7
"Visual Website Optimizer",20,2014-06-28,2,2014-06-22,0.0363636363636364,0.0537634408602151,0.163636363636364,0.247311827956989,7
"History of The World Cup",21,2014-06-28,3,2014-06-22,0.0545454545454545,0.0564516129032258,0.163636363636364,0.247311827956989,7
"AirWare",17,2014-06-28,3,2014-06-22,0.0545454545454545,0.0456989247311828,0.163636363636364,0.247311827956989,7
"XKCD Graphs",14,2014-06-28,5,2014-06-22,0.0909090909090909,0.0376344086021505,0.163636363636364,0.247311827956989,7
"PheedLoop",11,2014-06-28,9,2014-06-22,0.163636363636364,0.0295698924731183,0.163636363636364,0.247311827956989,7
"Wisembly",9,2014-06-28,0,2014-06-22,0,0.0241935483870968,0.163636363636364,0.247311827956989,7
"LifeGuides",8,2014-06-28,2,2014-06-22,0.0363636363636364,0.021505376344086,0.163636363636364,0.247311827956989,7
"HTML 5 UP",173,2014-06-27,15,2014-06-22,0.0704225352112676,0.171117705242334,0.0938967136150235,0.171117705242334,7
"Machete",133,2014-06-27,20,2014-06-22,0.0938967136150235,0.131552917903066,0.0938967136150235,0.171117705242334,7
"Fly",70,2014-06-27,8,2014-06-22,0.0375586854460094,0.0692383778437191,0.0938967136150235,0.171117705242334,7
"Outdoors",57,2014-06-27,14,2014-06-22,0.0657276995305164,0.056379821958457,0.0938967136150235,0.171117705242334,7
"LokLok",44,2014-06-27,18,2014-06-22,0.0845070422535211,0.0435212660731949,0.0938967136150235,0.171117705242334,7
